# Comprehensive Title Mapping - Curated from Content Analysis
# Format: filename | suggested_title

# Poor/Generic titles that need improvement
rainbow-arc-pointlist-another.js | Rainbow Arc Through Points
objects/vectors/controller.js | Vector Controller Object
objects/vectors/physics.js | Vector Physics Engine
objects/vectors/ship.js | Spaceship Vector Object
onclick-example.js | Click Event Handler
pattern-example.js | Canvas Pattern Fill
pendulum-point-example.js | Pendulum Swing Physics
phat-leg-example.js | Thick Line Leg Example
pin-rope-example.js | Pinned Rope Constraints
pin-rope-small-raw.js | Small Rope Physics Raw
pin-rope-small.js | Small Rope System
pin-rope-stiff.js | Stiff Rope Constraints
pixel-fix.js | Pixel Rounding Fix
planets.js | Orbital Planets System
plotter-cos-sin.js | Cosine-Sine Wave Plotter
plotter-raw.js | Raw Function Plotter
point-example-raw.js | Raw Point Example
point-line.js | Point to Line Projection
point-mousedown-click.js | Point Click Detection
point-pump-emitter.js | Point Pump Emitter System
pointer-lock.js | Pointer Lock API Example
polygon-bunkbed.js | Polygon Point-in-Polygon Test
potter-dual-lines.js | Dual Line Potter Wheel
protractor-point.editor.js | Protractor Point Editor
protractor-point.js | Angle Protractor Tool
pseudo3D-cube-2.js | Pseudo-3D Cube Rotation V2
pseudo3D-cube-3.js | Pseudo-3D Cube with Faces
pseudo3D-cube.js | Pseudo-3D Rotating Cube
pseudo3D-plane-2.js | Pseudo-3D Plane Projection V2
pseudo3D-plane.js | Pseudo-3D Plane Grid
pseudo3D-sphere-raw.js | Pseudo-3D Sphere Raw
pseudo3D-sphere.js | Pseudo-3D Sphere Rendering
pseudo3D-tetra.js | Pseudo-3D Tetrahedron
pseudo3D-waveplot.js | Pseudo-3D Wave Plot
pseudo3D-wirefame-cube.js | Pseudo-3D Wireframe Cube
pseudo3D-z-depth.js | Pseudo-3D Z-Depth Sorting
pseudo3D-z-plane.js | Pseudo-3D Z-Plane Projection
pseudo3DRotate-projection-types.js | Pseudo-3D Rotation Projection Types
qt-quadtree.js | Quadtree Spatial Partitioning
qt-rectangle.js | Quadtree Rectangle Operations
qt-sketch.js | Quadtree Visual Sketch
quad-curve.js | Quadratic Curve Drawing
quad-loop.js | Quadratic Curve Loop
quadratic-example.js | Quadratic Bezier Curve
quadtree-example.js | Quadtree Collision Detection
quantize-point.js | Point Position Quantization
random-example.js | Random Point Generation
random-gauge-value.js | Random Gauge Meter
random-point-pump-emitter.js | Random Point Pump System
random_point_line.js | Random Point Line Generator
ray-example.js | Ray Casting Example
rectangle-example.js | Rectangle Drawing Tool
recttools-example.js | Rectangle Tools API
reflect-1.js | Point Reflection V1
reflect-2.js | Point Reflection V2
reflect-3.js | Point Reflection V3
rel-function.js | Relative Function Movement
relative-bubbles.js | Relative Position Bubbles
relative-car-motion-2.js | Relative Car Motion V2
relative-car-motion-3.js | Relative Car Motion V3
relative-car-motion-4.js | Relative Car Motion V4
relative-car-motion.js | Relative Car Movement
relative-iter.js | Relative Iterator Function
relative-motion-2.js | Relative Motion System V2
relative-motion-5.js | Relative Motion System V5
relative-motion.js | Relative Motion Vectors
relative-spaceship2d-motion.js | Relative 2D Spaceship Motion
relative-spaceship2d-vector-engines-2.js | Spaceship Vector Engines V2
relative-spaceship2d-vector-engines.js | Spaceship Vector Engines
rope-and-text.js | Rope Physics with Text
rotate-selection.js | Rotation Selection Tool
sinewave.js | Sine Wave Oscillation
single-chord-example.js | Single Circle Chord
snapshot-upload.js | Canvas Snapshot Upload
snotite-ai-brownian-walker.js | AI Brownian Walker Agent
spaceship-vectors-controller.js | Spaceship Vector Controller
spaceship-vectors-keyboard.js | Spaceship Keyboard Controls
spaceship-vectors-radio-controls.js | Spaceship Radio UI Controls
spaceship-vectors-zero-gravity.js | Spaceship Zero Gravity
spectrum-lines.js | Spectrum Color Lines
speed-2.js | Speed Calculation V2
speed.js | Speed and Velocity Display
spin-plotter-2.js | Spinning Plotter V2
spin-plotter.js | Spinning Function Plotter
spiral-plotter.js | Spiral Path Plotter
splatout-stack.js | Splat Stack Effect
splatout.js | Splat Explosion Effect
split-2.js | Point Split Operation V2
split-another.js | Alternative Point Split
split-bar-2.js | Split Bar Interface V2
split-bar-warp-2.js | Split Bar Warp Effect V2
split-bar-warp.js | Split Bar Warp Distortion
split-bar.js | Adjustable Split Bar
split-circle-warp-tunnel.js | Circle Warp Tunnel Effect
split-zip.js | Zipper Split Animation
split.js | Point Split Tool
spray-brush.js | Spray Paint Brush
spreadline-2.js | Spread Line Distribution V2
spreadline.js | Point Spread Line
spring-blob-manual-gravity.js | Spring Blob with Gravity
spring-blob-manual.js | Manual Spring Blob
spring-blob-spokes.js | Spring Blob with Spokes
spring-blob.js | Spring-Based Blob
spring-bolted-triangle.js | Bolted Triangle Springs
spring-bound-point.js | Spring Boundary Point
spring-draggable-bound-2-point.js | Draggable 2-Point Spring
spring-draggable-bound-main.js | Draggable Spring Bounds
spring-draggable-manual-bound-point.js | Manual Drag Spring Point
spring-ml-shape.js | Multi-Layer Spring Shape
spring-point-collisions.js | Spring Point Collision System
spring-popon.js | Spring Pop-On Effect
spring-rope-to-rope-gravity.js | Rope to Rope Spring Gravity
squares-ngon-box.js | Square N-Gon Bounding Box
squirqle.js | Squircle Shape (Square-Circle)
stacks.js | Point Stack Management
stage-auto-events.js | Stage Auto Event Handling
stage-center-example.js | Stage Center Positioning
stage-example.js | Basic Stage Setup
stage-only.js | Stage Without Points
stage-stretch.js | Stage Stretch Scaling
stamping.js | Stamp Pattern Tool
starfield-example.js | Starfield Parallax Effect
stick-figure.js | Stick Figure Animation
straight-line-connected-main.js | Straight Line Connection
stroke-example.js | Stroke Style Examples
subdivide.js | Curve Subdivision
sun.js | Radial Sun Ray Effect
svg-example.js | SVG Path Rendering
svg-path-data.js | SVG Path Data Parser
tangent-2.js | Tangent Line V2
tangent-3.js | Tangent Line V3
tangent-arc-concave.js | Concave Arc Tangent
tangent-arc-convex.js | Convex Arc Tangent
tangent-derivative.js | Tangent Derivative Calculation
tangent.js | Tangent Line to Curve
tethered-point.js | Tethered Point Distance
tethered-poly.js | Tethered Polygon Shape
timeline-2.js | Timeline Sequence V2
touch-events.js | Touch Event Handler
trail.js | Point Trail Effect
twist-cube.js | Twisting Cube Animation
two-point-chord-example.js | Two Point Circle Chord
ui-controls.js | UI Control Widgets
utils/snapshots.js | Snapshot Utility Functions
vad-example.js | Voice Activity Detection
vad-wave.js | VAD Waveform Display
windings-example-raw.js | Winding Number Raw
windings-example.js | Winding Number Calculation
x-1-GPT-fail.js | Experimental: GPT Failure Case
x-arc-line-3.js | Experimental: Arc Line V3
zoom-lines.js | Zoom Level Lines
zoom.js | Canvas Zoom Control
